original,generated,similarity
Share my location with Hillary's sister,Share my location with Emily's sister,0.7414776086807251
Share my location with Hillary's sister,Share my location with Rachel's sister,0.7415555119514465
Share my location with Hillary's sister,Share my location with Megan's sister,0.752455472946167
Share my location with Hillary's sister,Share my location with Jessica's sister,0.7505614757537842
Share my location with Hillary's sister,Share my location with Eric's sister,0.7573699355125427
Share my location with Hillary's sister,Share my location with Sarah's sister,0.7498714923858643
Share my location with Hillary's sister,Share my location with Laura's sister,0.7521885633468628
Send my current location to my father,Send my exact location to my father,0.9250024557113647
Send my current location to my father,Send my birth location to my father,0.8710629940032959
Send my current location to my father,Send my GPS location to my father,0.8995832800865173
Send my current location to my father,Send my approximate location to my father,0.9489315748214722
Send my current location to my father,Send my precise location to my father,0.9251172542572021
Send my current location to my father,Send my current location to my father,1.0
Send my current location to my father,Send my email location to my father,0.9075214862823486
Share my current location with Jim,Share my exact location with Jim,0.9224203824996948
Share my current location with Jim,Share my approximate location with Jim,0.9265284538269043
Share my current location with Jim,Share my current location with Jim,1.0000001192092896
Share my current location with Jim,Share my GPS location with Jim,0.9083268642425537
Share my current location with Jim,Share my new location with Jim,0.9132514595985413
Share my current location with Jim,Share my vacation location with Jim,0.8525365591049194
Share my current location with Jim,Share my next location with Jim,0.8977535367012024
Send my location to my husband,Send my location to my editor,0.6239374876022339
Send my location to my husband,Send my location to my ISP,0.6734334826469421
Send my location to my husband,Send my location to my supervisor,0.7577357888221741
Send my location to my husband,Send my location to my inbox,0.7275761961936951
Send my location to my husband,Send my location to my landlord,0.6561443209648132
Send my location to my husband,Send my location to my friends,0.767066240310669
Send my location to my husband,Send my location to my server,0.6480523347854614
Send my location,Send my email,0.6457540988922119
Send my location,Send my thoughts,0.5086666941642761
Send my location,Send my feedback,0.4603320360183716
Send my location,Send my message,0.5831342935562134
Send my location,Send my Email,0.6457540988922119
Send my location,Send my photos,0.6504706740379333
Send my location,Send my questions,0.5460763573646545
Always share my location with Lori,Always share my location with me,0.7594097852706909
Always share my location with Lori,Always share my location with friends,0.725357174873352
Always share my location with Lori,Always share my location with us,0.7779139876365662
Always share my location with Lori,Always share my location with others,0.7371279001235962
Always share my location with Lori,Always share my location with you,0.7629593014717102
Always share my location with Lori,Always share my location with!,0.7755840420722961
Always share my location with Lori,Always share my location with ðŸ™‚,0.7584566473960876
Send my current location to Anna,Send my current thoughts to Anna,0.5416589975357056
Send my current location to Anna,Send my current questions to Anna,0.6184133291244507
Send my current location to Anna,Send my current story to Anna,0.6268212199211121
Send my current location to Anna,Send my current email to Anna,0.7217184901237488
Send my current location to Anna,Send my current query to Anna,0.6697805523872375
Send my current location to Anna,Send my current queries to Anna,0.6671913266181946
Send my current location to Anna,Send my current letter to Anna,0.6692400574684143
Share my location with my Uber driver,Share my story with my Uber driver,0.645230233669281
Share my location with my Uber driver,Share my frustrations with my Uber driver,0.5694891214370728
Share my location with my Uber driver,Share my experience with my Uber driver,0.6284264326095581
Share my location with my Uber driver,Share my experiences with my Uber driver,0.6406514644622803
Share my location with my Uber driver,Share my thoughts with my Uber driver,0.6257525682449341
Share my location with my Uber driver,Share my journey with my Uber driver,0.8021780252456665
Share my location with my Uber driver,Share my ride with my Uber driver,0.6586684584617615
Share my location with Jo until 8pm,Share my thoughts with Jo until 8pm,0.6499481201171875
Share my location with Jo until 8pm,Share my story with Jo until 8pm,0.7120926380157471
Share my location with Jo until 8pm,Share my views with Jo until 8pm,0.6177405118942261
Share my location with Jo until 8pm,Share my post with Jo until 8pm,0.7529107332229614
Share my location with Jo until 8pm,Share my blog with Jo until 8pm,0.7431891560554504
Share my location with Jo until 8pm,Share my comments with Jo until 8pm,0.6934325695037842
Share my location with Jo until 8pm,Share my stories with Jo until 8pm,0.704846203327179
Share my current location,Share my current posts,0.5424340963363647
Share my current location,Share my current blog,0.4774000644683838
Share my current location,Share my current post,0.5289564728736877
Share my current location,Share my current thoughts,0.07312034070491791
Share my current location,Share my current articles,0.3835347890853882
Share my current location,Share my current profile,0.6133536100387573
Share my current location,Share my current views,0.356448769569397
Is The View more expensive than Masa?,Is The Simpsons more expensive than Masa?,0.6139171123504639
Is The View more expensive than Masa?,Is The Boss more expensive than Masa?,0.6945235133171082
Is The View more expensive than Masa?,Is The Alchemist more expensive than Masa?,0.6445149183273315
Is The View more expensive than Masa?,Is The Matrix more expensive than Masa?,0.6902447938919067
Is The View more expensive than Masa?,Is The Cube more expensive than Masa?,0.7016591429710388
Is The View more expensive than Masa?,Is The Shining more expensive than Masa?,0.7012736797332764
Is The View more expensive than Masa?,Is The Shard more expensive than Masa?,0.6986327767372131
Is Soho Grand better than Paramount?,Is Soho Grand better than Paramount?,1.0000001192092896
Is Soho Grand better than Paramount?,Is Soho Grand Better than Paramount?,1.0000001192092896
Is Soho Grand better than Paramount?,Is Soho Grand rather than Paramount?,0.8669719696044922
Is Soho Grand better than Paramount?,Is Soho Grand bigger than Paramount?,0.8595337867736816
Is Soho Grand better than Paramount?,Is Soho Grandmore than Paramount?,0.9079071879386902
Is Soho Grand better than Paramount?,Is Soho Grand Older than Paramount?,0.8444748520851135
Is Soho Grand better than Paramount?,Is Soho Grand older than Paramount?,0.8444748520851135
Does the View has reserved parking?,Does the View has ample parking?,0.8657407164573669
Does the View has reserved parking?,Does the View has enough parking?,0.8461881279945374
Does the View has reserved parking?,Does the View has more parking?,0.7973231077194214
Does the View has reserved parking?,Does the View has overflow parking?,0.8476699590682983
Does the View has reserved parking?,Does the View has adequate parking?,0.8322848081588745
Does the View has reserved parking?,Does the View has sufficient parking?,0.8365235924720764
Does the View has reserved parking?,Does the View has garage parking?,0.8449923992156982
When is Rao's the most crowded?,When is Rao's the toilet crowded?,0.738548994064331
When is Rao's the most crowded?,When is Rao's the bathroom crowded?,0.7606823444366455
When is Rao's the most crowded?,When is Rao's the office crowded?,0.8253518342971802
When is Rao's the most crowded?,When is Rao's the airport crowded?,0.8189296126365662
When is Rao's the most crowded?,When is Rao's the subway crowded?,0.8090521097183228
When is Rao's the most crowded?,When is Rao's the stadium crowded?,0.8299950361251831
When is Rao's the most crowded?,When is Rao's the sky crowded?,0.7731987237930298
Is there a parking at my hotel?,Is there any parking at my hotel?,0.9839485883712769
Is there a parking at my hotel?,Is there ample parking at my hotel?,0.9114798903465271
Is there a parking at my hotel?,Is there enough parking at my hotel?,0.8814033269882202
Is there a parking at my hotel?,Is there more parking at my hotel?,0.8406386375427246
Is there a parking at my hotel?,Is there adequate parking at my hotel?,0.8955979943275452
Is there a parking at my hotel?,Is there sufficient parking at my hotel?,0.8937702775001526
Is there a parking at my hotel?,Is there no parking at my hotel?,0.9167970418930054
How crowded is Per Se right now?,How crowded is Per Se right now?,0.9999999403953552
How crowded is Per Se right now?, how crowded is Per Se right now?,0.9999999403953552
How crowded is Per Se right now?, How crowded is Per Se right now?,0.9999999403953552
How crowded is Per Se right now?,how crowded is Per Se right now?,0.9999999403953552
How crowded is Per Se right now?,So crowded is Per Se right now?,0.9870021343231201
How crowded is Per Se right now?, So crowded is Per Se right now?,0.9870021343231201
How crowded is Per Se right now?, as crowded is Per Se right now?,0.9666332006454468
What time does Pouring Ribbons open tonight?,What time does Pouring Ribbons start tonight?,0.9202573299407959
What time does Pouring Ribbons open tonight?,What time does Pouring Ribbons begin tonight?,0.9207552075386047
What time does Pouring Ribbons open tonight?,What time does Pouring Ribbons open tonight?,0.9999999403953552
What time does Pouring Ribbons open tonight?,What time does Pouring Ribbons end tonight?,0.9055109024047852
What time does Pouring Ribbons open tonight?,What time does Pouring Ribbons commence tonight?,0.8962408900260925
What time does Pouring Ribbons open tonight?,What time does Pouring Ribbons come tonight?,0.9173381328582764
What time does Pouring Ribbons open tonight?,What time does Pouring Ribbons arrive tonight?,0.8708314299583435
Is the Swan Oyster Depot cash-only?,Is the Swan Oyster Depot cash-only?,1.0
Is the Swan Oyster Depot cash-only?,Will the Swan Oyster Depot cash-only?,0.9718795418739319
Is the Swan Oyster Depot cash-only?,Was the Swan Oyster Depot cash-only?,0.9397069811820984
Is the Swan Oyster Depot cash-only?,Are the Swan Oyster Depot cash-only?,0.9844467043876648
Is the Swan Oyster Depot cash-only?,Why the Swan Oyster Depot cash-only?,0.9001197814941406
Is the Swan Oyster Depot cash-only?, is the Swan Oyster Depot cash-only?,1.0
Is the Swan Oyster Depot cash-only?,Buy the Swan Oyster Depot cash-only?,0.8838816285133362
Is there a wifi at The Smile?,Is there a wifi at Good Smile?,0.9301226735115051
Is there a wifi at The Smile?,Is there a wifi at Camp Smile?,0.8996818661689758
Is there a wifi at The Smile?,Is there a wifi at Google Smile?,0.873623251914978
Is there a wifi at The Smile?,Is there a wifi at Cafe Smile?,0.9141644239425659
Is there a wifi at The Smile?,Is there a wifi at Lime Smile?,0.8954663872718811
Is there a wifi at The Smile?,Is there a wifi at Lucky Smile?,0.9179478883743286
Is there a wifi at The Smile?,Is there a wifi at Old Smile?,0.9224423766136169
Is Pates Et Traditions cash only?,Is Pates Etihad cash only?,0.6441067457199097
Is Pates Et Traditions cash only?,Is Pates Etching cash only?,0.7265620827674866
Is Pates Et Traditions cash only?,Is Pates Etna cash only?,0.7817791104316711
Is Pates Et Traditions cash only?,Is Pates Etienne cash only?,0.8368852138519287
Is Pates Et Traditions cash only?,Is Pates Etiquette cash only?,0.8120430707931519
Is Pates Et Traditions cash only?,Is Pates Et al cash only?,0.676771879196167
Is Pates Et Traditions cash only?,Is Pates Etch cash only?,0.7093309164047241
What's planned at Slim's tonight?,What's planned at Slim's tonight?,1.0000001192092896
What's planned at Slim's tonight?,What'S planned at Slim's tonight?,1.0000001192092896
What's planned at Slim's tonight?,What'm planned at Slim's tonight?,0.9482200741767883
What's planned at Slim's tonight?,What't planned at Slim's tonight?,0.9679371118545532
What's planned at Slim's tonight?,What'n planned at Slim's tonight?,0.978498637676239
What's planned at Slim's tonight?,What' ya planned at Slim's tonight?,0.9490237832069397
What's planned at Slim's tonight?,What're planned at Slim's tonight?,0.9916179776191711
Show me photos of Mondrian Soho,Send me photos of Mondrian Soho,0.9568588733673096
Show me photos of Mondrian Soho,Show me photos of Mondrian Soho,1.000000238418579
Show me photos of Mondrian Soho, Send me photos of Mondrian Soho,0.9568588733673096
Show me photos of Mondrian Soho, send me photos of Mondrian Soho,0.9568588733673096
Show me photos of Mondrian Soho, sent me photos of Mondrian Soho,0.8103477954864502
Show me photos of Mondrian Soho,Give me photos of Mondrian Soho,0.9856470227241516
Show me photos of Mondrian Soho, show me photos of Mondrian Soho,1.000000238418579
What time does Employees Only close?, What time does Employees Only close?,1.0000001192092896
What time does Employees Only close?,What time does Employees Only close?,1.0000001192092896
What time does Employees Only close?, what time does Employees Only close?,1.0000001192092896
What time does Employees Only close?,Which time does Employees Only close?,0.9907912611961365
What time does Employees Only close?, Which time does Employees Only close?,0.9907912611961365
What time does Employees Only close?,How time does Employees Only close?,0.9289350509643555
What time does Employees Only close?,Why time does Employees Only close?,0.8178569078445435
Where's Irving Plaza located?,Where's Irving Plaza located?,1.0
Where's Irving Plaza located?, Where's Irving Plaza located?,1.0
Where's Irving Plaza located?,What's Irving Plaza located?,0.9908104538917542
Where's Irving Plaza located?,where's Irving Plaza located?,1.0
Where's Irving Plaza located?, where's Irving Plaza located?,1.0
Where's Irving Plaza located?,How's Irving Plaza located?,0.9785436391830444
Where's Irving Plaza located?,Who's Irving Plaza located?,0.9595765471458435
How far is the NoMad Bar?,How far is the NoMad Bar?,1.0000001192092896
How far is the NoMad Bar?,How far is your NoMad Bar?,0.955784797668457
How far is the NoMad Bar?,How far is this NoMad Bar?,0.9603896141052246
How far is the NoMad Bar?,How far is CafÃ© NoMad Bar?,0.8109794855117798
How far is the NoMad Bar?,How far is yours NoMad Bar?,0.9365352988243103
How far is the NoMad Bar?,How far is Cafe NoMad Bar?,0.8109794855117798
How far is the NoMad Bar?,How far is our NoMad Bar?,0.9595319032669067
Can I park at Gershwin Theatre?,Can I park at Gershwin Theatre?,1.000000238418579
Can I park at Gershwin Theatre?,Can I park inside Gershwin Theatre?,0.9794574975967407
Can I park at Gershwin Theatre?,Can I park in Gershwin Theatre?,0.99122554063797
Can I park at Gershwin Theatre?,Can I park near Gershwin Theatre?,0.968220055103302
Can I park at Gershwin Theatre?,Can I park outside Gershwin Theatre?,0.9613113403320312
Can I park at Gershwin Theatre?,Can I park into Gershwin Theatre?,0.988935649394989
Can I park at Gershwin Theatre?,Can I park the Gershwin Theatre?,0.9350906610488892
What's Lori's home address?,What's Kim's home address?,0.677838921546936
What's Lori's home address?,What's Trump's home address?,0.6165682673454285
What's Lori's home address?,What's Snowden's home address?,0.5904486775398254
What's Lori's home address?,What's Rachel's home address?,0.7596632838249207
What's Lori's home address?,What's Zuckerberg's home address?,0.581449031829834
What's Lori's home address?,What's Paddock's home address?,0.5665571689605713
What's Lori's home address?,What's Ashley's home address?,0.7295947670936584
Give me Steve's address in Manhattan,Give me Steve's address in person,0.836214542388916
Give me Steve's address in Manhattan,Give me Steve's address in email,0.761833131313324
Give me Steve's address in Manhattan,Give me Steve's address in advance,0.802859365940094
Give me Steve's address in Manhattan,Give me Steve's address in writing,0.8063268065452576
Give me Steve's address in Manhattan,Give me Steve's address in English,0.6980811953544617
Give me Steve's address in Manhattan,Give me Steve's address in Spanish,0.6014551520347595
Give me Steve's address in Manhattan,Give me Steve's address in iTunes,0.7474175095558167
Does Cafe Gitane have wifi?,Does Cafe Cafe have wifi?,0.8861415982246399
Does Cafe Gitane have wifi?,Does Cafe CafÃ© have wifi?,0.8861415982246399
Does Cafe Gitane have wifi?,Does Cafe Nero have wifi?,0.8411352634429932
Does Cafe Gitane have wifi?,Does Cafe Zero have wifi?,0.8305842876434326
Does Cafe Gitane have wifi?,Does Cafe Space have wifi?,0.8521233797073364
Does Cafe Gitane have wifi?,Does Cafe Racer have wifi?,0.7779654860496521
Does Cafe Gitane have wifi?,Does Cafe Hut have wifi?,0.8693756461143494
Show me veggie restaurants nearby,Find me veggie restaurants nearby,0.9483647346496582
Show me veggie restaurants nearby,Show me veggie restaurants nearby,1.0
Show me veggie restaurants nearby, Find me veggie restaurants nearby,0.9483647346496582
Show me veggie restaurants nearby,Call me veggie restaurants nearby,0.8866915106773376
Show me veggie restaurants nearby,Send me veggie restaurants nearby,0.8917614817619324
Show me veggie restaurants nearby, find me veggie restaurants nearby,0.9483647346496582
Show me veggie restaurants nearby,Get me veggie restaurants nearby,0.8062644004821777
Where is the nearest Starbucks?,Where's the nearest Starbucks?,0.9456502795219421
Where is the nearest Starbucks?,Where are the nearest Starbucks?,0.978827953338623
Where is the nearest Starbucks?,Where is the nearest Starbucks?,1.0
Where is the nearest Starbucks?,Where IS the nearest Starbucks?,1.0
Where is the nearest Starbucks?,Where at the nearest Starbucks?,0.8767969608306885
Where is the nearest Starbucks?,Where to the nearest Starbucks?,0.9708546996116638
Where is the nearest Starbucks?,Where was the nearest Starbucks?,0.8905817270278931
Find me the closest theatre for tonight,Find me the closest theatre for tonight,1.0
Find me the closest theatre for tonight,Show me the closest theatre for tonight,0.9804688096046448
Find me the closest theatre for tonight,Get me the closest theatre for tonight,0.9861588478088379
Find me the closest theatre for tonight, show me the closest theatre for tonight,0.9804688096046448
Find me the closest theatre for tonight, find me the closest theatre for tonight,1.0
Find me the closest theatre for tonight,Give me the closest theatre for tonight,0.9848677515983582
Find me the closest theatre for tonight,show me the closest theatre for tonight,0.9804688096046448
Book a restaurant for brunch next Sunday,Book a restaurant for brunch next Sunday,1.0000001192092896
Book a restaurant for brunch next Sunday,Book a restaurant for dinner next Sunday,0.8723389506340027
Book a restaurant for brunch next Sunday,Book a restaurant for lunch next Sunday,0.8961869478225708
Book a restaurant for brunch next Sunday,Book a restaurant for breakfast next Sunday,0.8943888545036316
Book a restaurant for brunch next Sunday,Book a restaurant for sale next Sunday,0.7358112335205078
Book a restaurant for brunch next Sunday,Book a restaurant for Thanksgiving next Sunday,0.7561277747154236
Book a restaurant for brunch next Sunday,Book a restaurant for Easter next Sunday,0.6897224187850952
Need a table for 6,Need a Friend for 6,0.4131765067577362
Need a table for 6,Need a Hero for 6,0.3650864362716675
Need a table for 6,Need a Reply for 6,0.44834664463996887
Need a table for 6,Need a recipe for 6,0.5410667061805725
Need a table for 6,Need a Prayer for 6,0.3857727348804474
Need a table for 6,Need a Coke for 6,0.37925267219543457
Need a table for 6,Need a haircut for 6,0.3656042218208313
Get me a ride to the airport,Get me a ride to the airport,1.0000001192092896
Get me a ride to the airport,Get me a cab to the airport,0.8580102324485779
Get me a ride to the airport,Get me a taxi to the airport,0.847876787185669
Get me a ride to the airport,Get me a shuttle to the airport,0.787439227104187
Get me a ride to the airport,Get me a ticket to the airport,0.8100406527519226
Get me a ride to the airport,Get me a lift to the airport,0.8515883088111877
Get me a ride to the airport,Get me a bus to the airport,0.8144745826721191
Order a taxi for tomorrow 8am,Order your taxi for tomorrow 8am,0.9690154790878296
Order a taxi for tomorrow 8am,Order a taxi for tomorrow 8am,1.0000001192092896
Order a taxi for tomorrow 8am,Order the taxi for tomorrow 8am,0.9717639684677124
Order a taxi for tomorrow 8am,Order my taxi for tomorrow 8am,0.9571529030799866
Order a taxi for tomorrow 8am,Order free taxi for tomorrow 8am,0.9193079471588135
Order a taxi for tomorrow 8am,Order this taxi for tomorrow 8am,0.9570744037628174
Order a taxi for tomorrow 8am,Order for taxi for tomorrow 8am,0.9619978666305542
Order a taxi, hail a taxi,0.8887580037117004
Order a taxi,Taking a taxi,0.8449679017066956
Order a taxi,Finding a taxi,0.8443617820739746
Order a taxi, driving a taxi,0.7680333256721497
Order a taxi,driving a taxi,0.7680333256721497
Order a taxi, booking a taxi,0.8370623588562012
Order a taxi,hire a taxi,0.9042307734489441
Book an Uber to my next meeting,Book an Uber to my next meeting,1.0000001192092896
Book an Uber to my next meeting,Book an Uber to my upcoming meeting,0.974831759929657
Book an Uber to my next meeting,Book an Uber to my weekly meeting,0.9276623129844666
Book an Uber to my next meeting,Book an Uber to my business meeting,0.9144648313522339
Book an Uber to my next meeting,Book an Uber to my first meeting,0.8996627330780029
Book an Uber to my next meeting,Book an Uber to my monthly meeting,0.9091876149177551
Book an Uber to my next meeting,Book an Uber to my annual meeting,0.8572921752929688
Book a cab,Bookmark cab,0.45154082775115967
Book a cab,Book rental cab,0.6541732549667358
Book a cab,Booking cab,0.8406053781509399
Book a cab,Book & cab,0.7267628908157349
Book a cab,Bookmobile cab,0.6514258980751038
Book a cab,Bookings cab,0.7397969365119934
Book a cab,Bookroom cab,0.5848875045776367
Find a taxi,Find a Reply,0.22660470008850098
Find a taxi,Find a friend,0.324154794216156
Find a taxi,Find a Friend,0.324154794216156
Find a taxi,Find a typo,0.13558998703956604
Find a taxi,Find a publisher,0.1350618153810501
Find a taxi,Find a partner,0.219844788312912
Find a taxi,Find a replacement,0.18793383240699768
Book an Uber to home,Book an email to home,0.47223734855651855
Book an Uber to home,Book an appointment to home,0.5287309288978577
Book an Uber to home,Book an app to home,0.5477871894836426
Book an Uber to home,Book an owl to home,0.4652586281299591
Book an Uber to home,Book an ebook to home,0.3352280557155609
Book an Uber to home,Book an iPad to home,0.5280634164810181
Book an Uber to home,Book an invite to home,0.3887104392051697
Order a cab for 6 people,Order a cab for 6 people,1.0
Order a cab for 6 people,Order a cab carrying 6 people,0.9544503092765808
Order a cab for 6 people,Order a cab with 6 people,0.9819871783256531
Order a cab for 6 people,Order a cab containing 6 people,0.9714846611022949
Order a cab for 6 people,Order a cab of 6 people,0.9808496832847595
Order a cab for 6 people,Order a cab transporting 6 people,0.9487180113792419
Order a cab for 6 people,Order a cab to 6 people,0.9711215496063232
I need an Uber right now,I need an Uber right now,1.0000001192092896
I need an Uber right now,I want an Uber right now,0.9255576133728027
I need an Uber right now,I drive an Uber right now,0.7452161908149719
I need an Uber right now,I own an Uber right now,0.7644908428192139
I need an Uber right now,I ride an Uber right now,0.7618776559829712
I need an Uber right now,I'm an Uber right now,0.7629623413085938
I need an Uber right now,I prefer an Uber right now,0.7959425449371338
Book me a ride at my current location,<majsk> me a ride at my current location,0.7403048276901245
Book me a ride at my current location,<mjsk> me a ride at my current location,0.8090932965278625
Book me a ride at my current location,<mÃ¶sk> me a ride at my current location,0.7292196154594421
Book me a ride at my current location,<movsk> me a ride at my current location,0.7194212079048157
Book me a ride at my current location,<msksk> me a ride at my current location,0.7118052244186401
Book me a ride at my current location,<m/sk> me a ride at my current location,0.7050350904464722
Book me a ride at my current location,<mgrsk> me a ride at my current location,0.7101267576217651
I want a taxi right now,I want a taxi right now,1.0000001192092896
I want a taxi right now,I want a taxi driver now,0.8012471199035645
I want a taxi right now,I want a taxi ride now,0.9229829907417297
I want a taxi right now,I want a taxi service now,0.8473103642463684
I want a taxi right now,I want a taxi cab now,0.9151011109352112
I want a taxi right now,I want a taxi licence now,0.7490819096565247
I want a taxi right now,I want a taxi here now,0.9163031578063965
Is there any Uber around?,Is there any competition around?,0.3884983956813812
